Report Date,Class Description,Selling Basis,Grade Description,Average Weight,Weighted Avg Price
02/08/2023,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
01/06/2023,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
12/08/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
11/04/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
10/05/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
09/07/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
08/05/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
07/06/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
06/07/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
05/04/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
04/06/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
03/09/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
02/02/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
01/06/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
12/08/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
11/09/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
10/05/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
09/03/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
08/04/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
07/06/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
06/08/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
05/10/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
04/06/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
03/04/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
02/08/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
01/07/2021,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
12/08/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
11/06/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
10/06/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
09/11/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,850,163.13
08/05/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,825,144.00
07/07/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
06/11/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,855,164.70
05/13/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
04/07/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
03/06/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
02/05/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
01/07/2020,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
12/03/2019,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
11/05/2019,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
10/07/2019,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,862,162.00
09/04/2019,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,803,185.00
08/05/2019,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,806,185.00
07/08/2019,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,
